time_s,v_mean,v_std,user00,user01,user02,user10,user11,user12
1655,-0.06533767,0.106101502,-0.136768132,-0.083960161,-0.150662184,-0.063200608,0.16235894,-0.119793877
1656,-0.09663885,0.153811657,-0.161055908,-0.275267363,-0.255899101,-0.055589829,0.166416377,0.001562726
1657,-0.107390753,0.129842163,-0.166039795,-0.222787827,-0.254169315,-0.043996524,0.134681731,-0.09203279
1658,-0.116557642,0.112589504,-0.118940771,-0.174857885,-0.244764864,-0.038844179,0.087350056,-0.20928821
1659,-0.149546971,0.134838656,-0.126310021,-0.247877032,-0.315301776,-0.14670755,0.116210952,-0.1772964
1660,-0.128965507,0.139151,-0.14442347,-0.300854683,-0.15739122,-0.066984445,0.134903029,-0.239042252
1661,-0.120631354,0.150365309,-0.113927066,-0.224905372,-0.266042322,-0.037999701,0.164374918,-0.245288581
1662,-0.083500711,0.12431971,-0.12227495,-0.128718913,-0.183043882,-0.123439923,0.19057852,-0.134105116
1663,-0.153515018,0.191554054,-0.11834088,-0.480152041,-0.095913976,-0.039569896,0.117082119,-0.304195434
1664,-0.136901363,0.187539028,-0.149072558,-0.412455708,-0.137882054,-0.033743393,0.187271103,-0.27552557
1665,-0.163759001,0.238834593,-0.120806634,-0.583794773,-0.140461698,0.04386301,0.143465295,-0.324819207
1666,-0.170882705,0.162156435,-0.131247655,-0.403125495,-0.245214164,-0.169345781,0.09451957,
1667,,,,,,,,
1668,-0.115719454,0.182947778,-0.128400713,-0.463614255,-0.19900398,0.028210685,0.093391337,-0.024899799
1669,-0.1573717,0.162226666,-0.136693701,-0.40036276,-0.24897328,-0.087664992,0.131111473,-0.201646939
1670,-0.129489514,0.147321384,-0.147234201,-0.359798044,-0.15700151,-0.077489585,0.137877554,-0.173291296
1671,-0.158390022,0.166842868,-0.130899534,-0.433053672,-0.16034472,-0.042377423,0.093236282,-0.276901066
1672,-0.0911383,0.137923632,-0.097586155,-0.343118936,-0.060694862,-0.025433611,0.071142063,
1673,-0.115504508,0.183796064,-0.12883772,-0.37135902,-0.229812652,-0.015038472,0.167525321,
1674,-0.031527053,0.123836629,-0.124013588,0.014438346,,0.023740551,0.141466871,-0.213267446
1675,-0.109208181,0.134548497,-0.125489831,-0.188865095,-0.200001508,-0.047415596,0.155922279,-0.249399334
1676,,,,,,,,
1677,-0.084842401,0.143203959,-0.113973632,-0.260646224,-0.271761537,0.069670849,0.080250919,-0.012594778
1678,-0.116589244,0.172652074,-0.112225965,-0.364801884,-0.264197618,0.026822861,0.155934915,-0.141067773
1679,-0.137193808,0.137059627,-0.125600353,-0.281848967,-0.275035828,-0.013906851,0.08918763,-0.215958476
1680,-0.139591334,0.119272847,-0.109349057,-0.226627231,-0.279875249,0.080465719,-0.085898593,-0.216263592
1681,-0.110019147,0.137760799,-0.109975815,-0.322883457,-0.182908788,-0.104249269,0.139558271,-0.079655826
1682,-0.132500109,0.175988995,-0.110830203,-0.456850082,-0.16526565,-0.16434373,0.124021053,-0.021732043
1683,-0.125960089,0.141021388,-0.125050515,-0.327133656,-0.233258873,-0.133402109,0.125532031,-0.06244741
1684,-0.180435215,0.156770334,-0.128618702,-0.279699653,-0.346698314,-0.232825696,0.138532266,-0.233301193
1685,-0.153120996,0.134895235,-0.127546847,-0.345512331,-0.227830142,-0.16282095,0.103410088,-0.158425793
1686,-0.158984226,0.118536183,-0.124555022,-0.339439481,-0.256064832,-0.165724367,0.036201913,-0.104323566
1687,-0.157918903,0.158832784,-0.133562952,-0.325968325,-0.291144371,-0.20830074,0.161749184,-0.150286213
1688,-0.158063762,0.177212884,-0.120089725,-0.280028671,-0.436944544,-0.164873093,0.140697971,-0.087144509
1689,-0.194851816,0.140103355,-0.129268155,-0.404097706,-0.34954384,-0.114902809,0.002432447,-0.173730835
1690,-0.155550045,0.152975559,-0.123683318,-0.373672903,-0.301856428,-0.115767241,0.104786843,-0.123107225
1691,,,,,,,,
1692,-0.110930192,0.16286776,-0.136101171,-0.2704916,-0.220750302,-0.118629619,0.234185681,-0.15379414
1693,-0.163539002,0.122566647,-0.110466793,-0.370021552,-0.289293438,-0.105939746,-0.030325215,-0.075187266
1694,-0.130709539,0.09056004,-0.132686973,-0.267150939,-0.136421829,-0.116704971,0.038975298,-0.17026782
1695,-0.095361991,0.078819317,-0.11576952,-0.176309109,-0.172824427,-0.105326712,0.055539954,-0.057482135
1696,-0.093979853,0.082793101,-0.116479397,-0.174305871,-0.131570026,0.056541275,-0.028148856,-0.169916242
1697,-0.081096917,0.059443992,-0.117892027,-0.173913628,-0.10865289,-0.003033001,-0.066551864,-0.016538091
1698,-0.162314227,0.117215614,-0.124080628,-0.283822566,-0.264246076,-0.047808137,0.014827931,-0.268755883
1699,-0.105069453,0.092444062,-0.128210023,-0.177475184,-0.153413922,-0.024319496,0.058118254,-0.205116346
1700,-0.131118145,0.094517395,-0.107763588,-0.234386444,-0.164835006,0.018781841,-0.054050725,-0.24445495
1701,-0.112273774,0.088039563,-0.112002641,-0.279728919,-0.146878868,-0.093697011,-0.01234597,-0.028989237
1702,-0.129398935,0.055396351,-0.113503471,-0.231974542,-0.17174542,-0.100402862,-0.080111578,-0.078655735
1703,-0.153619192,0.056005455,-0.12569052,-0.178961739,-0.202045023,-0.060317125,-0.126258612,-0.228442132
1704,-0.153701131,0.075938775,-0.127811208,-0.193788424,-0.190152183,-0.073259979,-0.05887137,-0.278323621
1705,-0.181895023,0.066092486,-0.104927346,-0.24779436,-0.283010989,-0.162871629,-0.108739808,-0.184026003
1706,,,,,,,,
1707,-0.126407597,0.112389013,-0.127752513,-0.234399855,-0.223424256,-0.049059588,0.080235049,-0.204044417
1708,-0.159642354,0.083190259,-0.117766723,-0.142927811,-0.284115195,-0.022006009,-0.160311073,-0.230727315
1709,-0.130705013,0.134547995,-0.104564935,0.072327711,-0.386060357,-0.118417203,-0.098662689,-0.148852602
1710,-0.169129898,0.104378106,-0.111557573,-0.0866642,-0.392918885,-0.120524898,-0.118451074,-0.184662759
1711,-0.186577087,0.095305774,-0.108798638,-0.194659606,-0.314797878,-0.081786111,-0.109979674,-0.309440613
1712,-0.089230562,0.111364932,-0.113104224,-0.10877876,-0.301307976,-0.060353573,-0.007314194,0.055475358
1713,-0.147322359,0.098749844,-0.114499301,-0.301545829,-0.247226894,-0.071194395,-0.135283008,-0.014184725
1714,-0.147758047,0.074495383,-0.104139194,-0.090423584,-0.30806455,-0.099291623,-0.14305535,-0.14157398
1715,-0.18406366,0.127708419,-0.108334571,-0.320302725,-0.397351712,-0.130771726,-0.095227569,-0.052393656
1716,-0.124571502,0.040686599,-0.108668566,-0.109775767,-0.07510078,-0.140525535,-0.108218431,-0.205139935
1717,-0.158053584,0.048175415,-0.104291856,-0.250519067,-0.140757173,-0.138338491,-0.127242878,-0.18717204
1718,-0.205384267,0.129892675,-0.108832806,-0.386083245,-0.391744316,-0.123116583,-0.106618345,-0.115910307
1719,-0.194364938,0.122491724,-0.112578824,-0.369777739,-0.361080736,-0.139901057,-0.10893625,-0.07391502
1720,-0.159791845,0.091600076,-0.110416755,-0.218123704,-0.33936289,-0.106835842,-0.103472874,-0.080539003
1721,-0.184831674,0.098181562,-0.115661457,-0.231083035,-0.382083625,-0.159245774,-0.122461677,-0.098454475
1722,-0.115527706,0.110901145,-0.122946098,-0.127914578,-0.267932206,-0.116942912,0.104107909,-0.161538348
1723,-0.096993126,0.104623203,-0.126111776,-0.084304348,-0.237764627,-0.129214838,-0.11601764,0.111454472
1724,-0.141357819,0.0967636,-0.117773339,-0.066017732,-0.340667158,-0.072600365,-0.075569838,-0.175518483
1725,-0.221173145,0.123273018,-0.112000674,-0.387332618,-0.345828146,-0.057805363,-0.144010499,-0.280061573
1726,-0.180944209,0.085968313,-0.115556151,-0.281597555,-0.308027118,-0.085721582,-0.112265363,-0.182497486
1727,-0.150227575,0.119530341,-0.113754347,-0.29078871,-0.297196478,-0.153713271,-0.095858082,0.04994544
1728,-0.158503942,0.059503973,-0.114329532,-0.143276349,-0.257950276,-0.133391485,-0.086117327,-0.215958685
1729,-0.120029151,0.066064619,-0.123994082,-0.010329019,-0.234204084,-0.140354499,-0.117364407,-0.093928814
1730,-0.186981378,0.087542702,-0.123197734,-0.14637208,-0.358770549,-0.154962331,-0.101830319,-0.236755252
1731,-0.137487685,0.10419833,-0.125602856,0.060350507,-0.261049062,-0.150580853,-0.111755535,-0.236288309
1732,-0.175358405,0.093986615,-0.125657499,-0.154761434,-0.371855021,-0.156452537,-0.069835886,-0.173588052
1733,-0.145144055,0.052933543,-0.116334826,-0.10563086,-0.249733418,-0.148284614,-0.088730484,-0.16215013
1734,-0.168047125,0.072705918,-0.118745759,-0.14971742,-0.321268052,-0.13402766,-0.103618875,-0.180904984
1735,-0.244409251,0.132842329,-0.121129125,-0.36641252,-0.306533366,-0.155510753,-0.080047742,-0.436821997
1736,-0.237180149,0.121064884,-0.120849788,-0.407278508,-0.338066012,-0.146015629,-0.093699947,-0.317171007
1737,-0.17500178,0.07207405,-0.124225408,-0.174623325,-0.286651105,-0.14584665,-0.073358387,-0.245305806
1738,-0.160723113,0.070486327,-0.126890689,-0.200550675,-0.291141629,-0.129043445,-0.066036671,-0.150675565
1739,-0.176020833,0.130733153,-0.138128847,-0.132705569,-0.453457445,-0.061876234,-0.080821678,-0.189135224
1740,-0.135903216,0.124639459,-0.138299882,-0.088505596,-0.358699679,-0.178274184,-0.113248482,0.061608531
1741,-0.181601919,0.090062173,-0.124640718,-0.296877503,-0.309488565,-0.154611886,-0.136468187,-0.067524657
1742,-0.162542731,0.095593042,-0.124234959,-0.164114431,-0.359921485,-0.152045041,-0.12631537,-0.0486251
1743,-0.130560949,0.036321227,-0.12760818,-0.088701621,-0.169914261,-0.1617679,-0.077064052,-0.158309683
1744,-0.116858641,0.059196685,-0.12880598,-0.1174348,-0.165871352,-0.190309346,-0.004786998,-0.093943372
1745,-0.148461732,0.077507157,-0.127256274,-0.19615306,-0.291609943,-0.138080806,-0.064359412,-0.073310897
1746,-0.148315991,0.107275426,-0.125025168,-0.17371504,-0.342891455,-0.188548818,-0.042457696,-0.017257769
1747,-0.172795968,0.134146742,-0.126964614,-0.406121761,-0.281314909,-0.153085247,-0.058034789,-0.011254486
1748,-0.19195431,0.094600708,-0.127590328,-0.337914497,-0.306241393,-0.14361605,-0.08683078,-0.14953281
1749,-0.162203843,0.119815563,-0.123085782,-0.425089091,-0.113896012,-0.062190812,-0.111962467,-0.136998892
1750,-0.195814913,0.113572787,-0.124623433,-0.409277052,-0.263133734,-0.137491927,-0.059419069,-0.180944264
1751,-0.182018648,0.167581929,-0.11927399,-0.42197594,-0.395088285,-0.121928319,0.02468829,-0.058533642
1752,-0.225645466,0.143557877,-0.105578437,-0.481465131,-0.277585775,-0.149848729,-0.049094561,-0.290300161
1753,-0.155271977,0.058421055,-0.109140202,-0.272487402,-0.180762872,-0.123335138,-0.10231629,-0.143589959
1754,-0.138690822,0.117847701,-0.122628286,-0.368167371,-0.093325377,0.021026166,-0.097050071,-0.171999991
1755,-0.173217661,0.08863416,-0.122993335,-0.336418033,-0.052924406,-0.16051583,-0.143559456,-0.222894907
1756,-0.18018875,0.072309161,-0.112316951,-0.165297866,-0.263044238,-0.127928853,-0.117992803,-0.29455179
1757,-0.149686848,0.045855044,-0.108648315,-0.198234141,-0.104317218,-0.126109526,-0.135275632,-0.225536257
1758,-0.133843897,0.038820013,-0.115877852,-0.17262961,-0.160747558,-0.056211058,-0.145892084,-0.15170522
1759,-0.171352282,0.059070859,-0.125212327,-0.284658432,-0.182862744,-0.098887578,-0.151422203,-0.18507041
1760,-0.14543798,0.154362836,-0.115740389,-0.353616387,-0.124682024,0.083941951,-0.034408566,-0.328122467
1761,-0.117311853,0.12273652,-0.111319527,-0.186986908,-0.191142827,-0.182482973,0.150247499,-0.18218638
1762,-0.152985511,0.109661103,-0.151274055,-0.173556879,-0.171524316,-0.173442155,0.062075794,-0.310191453
1763,-0.13117893,0.172669523,-0.163268775,-0.350416899,-0.138638243,-0.016360745,0.171230316,-0.289619237
1764,-0.116310041,0.208656839,-0.132318839,-0.250730246,-0.170256466,-0.003391434,0.263377935,-0.404541194
1765,-0.102746218,0.127320448,-0.117144808,-0.16717051,-0.061887834,-0.028851699,0.085601494,-0.327023953
1766,-0.077119699,0.185451005,-0.110472813,-0.114166841,-0.034842987,-0.006548703,0.214865014,-0.411551863
1767,-0.122995711,0.174833627,-0.142441139,-0.144492596,-0.225428998,0.061019368,0.118772924,-0.405403823
1768,-0.110358543,0.186760457,-0.102213815,-0.213783741,-0.155488327,-0.04709236,0.23602739,-0.379600406
1769,-0.122576271,0.11200463,-0.100896731,-0.092054769,-0.166411608,0.009487826,-0.043382455,-0.342199892
1770,-0.052796603,0.126662478,-0.119030967,-0.227028012,-0.094582617,0.002276655,0.185156137,-0.063570812
1771,-0.108624303,0.130034506,-0.118121758,-0.247994244,-0.226065904,-0.0642896,0.113349989,
1772,-0.085638109,0.137634871,-0.125960603,-0.275903583,-0.153026402,-0.104793221,0.17451261,-0.028657455
1773,-0.156223101,0.072997427,-0.111233205,-0.199426696,-0.210089803,-0.083369985,-0.265746117,-0.067472801
1774,-0.106753019,0.08923394,-0.126844138,-0.265141577,-0.134929568,-0.097103909,-0.039814185,0.023315262
1775,-0.101946571,0.124205903,-0.125880778,-0.336276799,-0.091038048,-0.092005715,0.082633428,-0.049111512
