11_v,01_v,02_v,00_v,12_v,10_v,11_a,01_a,02_a,12_a,10_a,00_a,v_mean,v_std,a_mean,a_std
0.08167894184589386,-0.48216715455055237,-0.12154936790466309,-0.13190287351608276,-0.2506851851940155,-0.03168914094567299,0.2826567590236664,0.42211154103279114,0.33960533142089844,0.5273494124412537,0.2809438109397888,0.4101492762565613,-0.15605246337751547,0.17751162737538806,0.3771360218524933,0.08685674054948328
0.10589258372783661,-0.2653687596321106,-0.13821187615394592,-0.13140812516212463,-0.2360958456993103,-0.06358550488948822,0.2844829857349396,0.2933570146560669,0.16859470307826996,0.5580105781555176,0.29964694380760193,0.40357136726379395,-0.12146292130152385,0.12197633187616269,0.33461059878269833,0.12087287327477539
0.055131010711193085,-0.31895387172698975,-0.3152971863746643,-0.13082373142242432,-0.15910620987415314,-0.12827321887016296,0.35491448640823364,0.2926531434059143,0.36613157391548157,0.48382139205932617,0.2234310507774353,0.41595661640167236,-0.1662205345928669,0.12733903109975167,0.3561513771613439,0.08329080010835607
0.03841573745012283,-0.3611127436161041,-0.13837701082229614,-0.12538813054561615,-0.19665077328681946,0.06319607049226761,0.46598106622695923,0.33595114946365356,0.3093552589416504,0.42102259397506714,0.4378986656665802,0.4120492935180664,-0.11998614172140758,0.1431978745305802,0.39704300463199615,0.055742273453222156
-0.008137047290802002,-0.3238842189311981,-0.05797431245446205,-0.125639408826828,-0.0030332207679748535,null,0.3688242733478546,0.32993537187576294,0.3013826608657837,0.409649521112442,null,0.4070611000061035,-0.103733641654253,0.11859117938545838,0.36337058544158934,0.04252237049113344
0.02534707635641098,-0.2379359006881714,-0.20096753537654877,-0.12998564541339874,-0.1676366925239563,null,0.298151433467865,0.24712258577346802,0.46552133560180664,0.395262748003006,null,0.4077743589878082,-0.14223573952913285,0.09109030474023691,0.36276649236679076,0.07897960681730322
0.014218278229236603,-0.3428521752357483,-0.21620908379554749,-0.12117013335227966,-0.38346371054649353,-0.12743206322193146,0.3620399832725525,0.28947848081588745,0.3185216784477234,0.42243605852127075,0.36184239387512207,0.40729793906211853,-0.19615148132046065,0.13638748044317506,0.3602694223324458,0.04625331102852474
0.003439035266637802,-0.25915345549583435,-0.1730964183807373,-0.1218050867319107,-0.26854413747787476,-0.1202058345079422,0.23105935752391815,0.3941221535205841,0.37002629041671753,0.31740403175354004,0.22180978953838348,0.4222111701965332,-0.1565609828879436,0.09261797694063575,0.32610546549161273,0.0772211982994385
null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
-0.019461054354906082,-0.0987250804901123,-0.2064114660024643,-0.12115298211574554,-0.2421618402004242,-0.14345474541187286,0.5032330751419067,0.14697828888893127,0.26983773708343506,0.33684998750686646,0.2844545245170593,0.4114433825016022,-0.13856119476258755,0.0723826696493886,0.32546616593996686,0.11236632521341158
0.0038254372775554657,-0.19243568181991577,-0.07823324203491211,-0.13104408979415894,-0.22746780514717102,-0.10401129722595215,0.2389727681875229,0.26623374223709106,0.3314911723136902,0.3925660252571106,0.3498912751674652,0.41778624057769775,-0.12156111312409242,0.07553856214148666,0.3328235372900963,0.06366982063407614
