,00_v,01_v,02_v,10_v,11_v,12_v,00_a,01_a,02_a,10_a,11_a,12_a,v_mean,a_mean,v_std,a_std
89,-0.14668189,-0.046242114,-0.173436776,-0.100676537,-0.093068436,-0.136074021,0.365165204,0.621155262,0.254645944,0.319821894,0.230706006,0.349645257,-0.116029962,0.356856595,0.045321409,0.139790829
90,-0.115420744,-0.026195321,-0.213367283,-0.103082478,-0.029419538,-0.205779448,0.398798704,0.318831861,0.260206103,0.34373489,0.227097929,0.393028349,-0.115544135,0.323616306,0.081569289,0.069620003
91,-0.122644976,0.062940143,-0.129350543,-0.110501498,-0.096090987,-0.255530536,0.389540493,0.42402488,0.352692097,0.326443046,0.214354128,0.402225465,-0.108529733,0.351546685,0.101786552,0.075786884
92,-0.119884551,-0.363063037,-0.206769973,-0.125897169,-0.043833192,-0.19630836,0.360475361,0.259625554,0.314418525,0.319409728,0.205661237,0.433519393,-0.17595938,0.3155183,0.109067954,0.078935824
93,-0.116078496,-0.24825868,-0.130347326,-0.118703425,-0.007894341,-0.206222445,0.370375127,0.268585205,0.303912938,0.307843536,0.236939728,0.380527347,-0.137917452,0.31136398,0.083246854,0.056040684
94,-0.117561281,-0.208858401,-0.024253462,-0.111562967,0.032630682,-0.245090753,0.365797639,0.262477875,0.30430612,0.31765908,0.234867439,0.344892591,-0.112449364,0.305000124,0.105586074,0.04934615
95,-0.125996172,-0.214160204,-0.075973853,-0.149599746,-0.070720851,-0.160964713,0.355812132,0.19945313,0.335439086,0.301374674,0.244473204,0.518984377,-0.13290259,0.325922767,0.054450392,0.11089448
96,-0.123619691,-0.051288966,-0.171425357,-0.163333267,0.030892385,-0.286865681,0.355702192,0.216297552,0.322666436,0.29826504,0.211227864,0.502943873,-0.127606763,0.317850493,0.109107413,0.107499282
97,-0.145001099,-0.104548752,-0.175273567,-0.125065446,-0.110461593,-0.235578686,0.362167001,0.189830497,0.394269735,0.321369201,0.163555339,0.511652052,-0.149321524,0.323807304,0.049468223,0.130658709
98,-0.150989547,-0.296492189,-0.166759387,-0.138923571,0.110868394,-0.421117246,0.363417119,0.393305331,0.336549878,0.316558003,0.363333493,0.413374394,-0.177235591,0.364423036,0.178309125,0.035498157
99,-0.13885276,-0.242476314,-0.23277238,-0.152217641,-0.05314989,-0.175990224,0.370555878,0.255025029,0.355961323,0.304159999,0.234025463,0.459674895,-0.165909868,0.329900431,0.069381563,0.083227822
100,-0.152055085,-0.259486377,-0.142471761,-0.139740929,-0.030603353,-0.216726094,0.366390705,0.374444216,0.190194637,0.292588532,0.208318859,0.270536423,-0.156847267,0.283745562,0.078204902,0.077136383
101,-0.137775883,-0.083324239,-0.083881825,-0.008553054,-0.037617553,-0.2130422,0.354610711,0.251431733,0.257755399,0.423364192,0.198323727,0.313116223,-0.094032459,0.299766998,0.073189996,0.081060854
102,-0.109779969,-0.168888465,-0.115890935,-0.037810903,0.104209557,-0.263973951,0.409256041,0.160776854,0.402120262,0.375053048,0.256013602,0.366906285,-0.098689111,0.328354349,0.124531091,0.098963543
