time_s,rppg_mean,rppg_std,user00,user10,user01
89.68,-0.133958333,0.116442331,0,-0.190928,-0.210947
89.72,-0.207629333,0.21673472,0,-0.190442,-0.432446
89.76,-0.200981767,0.268002523,0,-0.0976833,-0.505262
89.8,-0.130999167,0.29462173,0,0.0754045,-0.468402
89.84,-0.048643,0.305124494,0,0.229238,-0.375167
89.88,0.011527667,0.316453012,0,0.333587,-0.299004
89.92,0.035138,0.291391301,0,0.342505,-0.237091
89.96,0.055936,0.268713475,0,0.348215,-0.180407
90,0.060755667,0.206336795,0,0.290649,-0.108382
90.04,0.072389233,0.167042346,0,0.263416,-0.0462483
90.08,0.0814085,0.115139109,0,0.213143,0.0310825
90.12,0.076706167,0.07031019,0,0.138095,0.0920235
90.16,0.074967333,0.068821334,0,0.089619,0.135283
90.2,0.064013967,0.079184078,0,0.0394809,0.152561
90.24,0.054697,0.089176538,0,0.00649,0.157601
90.28,0.044823167,0.08941577,0,-0.0133155,0.147785
90.32,0.016151333,0.100922999,0,-0.075722,0.124176
90.36,0.035413667,0.084585376,0,-0.025709,0.13195
90.4,0.05364484,0.091674339,0,0.00143652,0.159498
90.44,0.062699633,0.069370758,0,0.0508769,0.137222
90.48,0.078117067,0.099203243,0,0.0446182,0.189733
90.52,0.105658167,0.116083478,0,0.0870545,0.22992
90.56,0.117686833,0.140263353,0,0.0801655,0.272895
90.6,0.102979667,0.116902404,0,0.078888,0.230051
90.64,0.134304667,0.14132141,0,0.121186,0.281728
90.68,0.056326733,0.087058711,0,0.156599,0.0123812
90.72,-0.070631667,0.262529049,0,0.149356,-0.361251
90.76,-0.184768,0.423773218,0,0.11525,-0.669554
90.8,-0.2563163,0.465803868,0,0.0250371,-0.793986
90.84,-0.277213867,0.432869759,0,-0.0556256,-0.776016
90.88,-0.265296667,0.321580458,0,-0.17294,-0.62295
90.92,-0.189655,0.166633549,0,-0.256376,-0.312589
90.96,-0.089603033,0.218527053,0,-0.33869,0.0698809
91,0.035423333,0.38738361,0,-0.333032,0.439302
91.04,0.113857333,0.485996872,0,-0.305103,0.646675
